#{"t_start": 1678197736.3717868, "env_id": "CartPole-v0"}
r,l,t
26.0,26,8.288713
13.0,13,8.288713
22.0,22,8.288713
13.0,13,8.288713
48.0,48,8.296727
18.0,18,8.296727
24.0,24,8.304745
24.0,24,8.304745
13.0,13,8.304745
29.0,29,8.304745
17.0,17,8.304745
11.0,11,8.304745
10.0,10,8.304745
43.0,43,8.312725
21.0,21,8.312725
56.0,56,8.312725
73.0,73,8.320751
12.0,12,8.320751
14.0,14,8.320751
51.0,51,8.320751
51.0,51,8.328748
12.0,12,8.328748
11.0,11,8.328748
9.0,9,8.328748
32.0,32,8.336818
14.0,14,8.336818
32.0,32,8.336818
22.0,22,8.336818
13.0,13,8.336818
13.0,13,8.336818
23.0,23,8.344807
19.0,19,8.344807
16.0,16,8.344807
14.0,14,8.344807
21.0,21,8.344807
25.0,25,8.352734
18.0,18,8.352734
14.0,14,8.352734
26.0,26,8.352734
22.0,22,8.352734
25.0,25,8.352734
20.0,20,8.360731
14.0,14,8.360731
17.0,17,8.360731
49.0,49,8.360731
17.0,17,8.368813
25.0,25,8.368813
23.0,23,8.368813
20.0,20,8.376913
26.0,26,8.376913
60.0,60,8.381926
20.0,20,8.385034
15.0,15,8.385034
47.0,47,8.385034
11.0,11,8.385034
13.0,13,8.385034
34.0,34,8.385034
20.0,20,8.393138
25.0,25,8.393138
23.0,23,8.393138
25.0,25,8.393138
48.0,48,8.401132
25.0,25,8.401132
42.0,42,8.401132
24.0,24,8.401132
15.0,15,8.401132
18.0,18,8.401132
15.0,15,8.40914
12.0,12,8.40914
20.0,20,8.40914
12.0,12,8.40914
16.0,16,8.40914
17.0,17,8.40914
20.0,20,8.417046
18.0,18,8.417046
38.0,38,8.417046
49.0,49,8.425051
21.0,21,8.425051
21.0,21,8.425051
11.0,11,8.425051
20.0,20,8.433051
14.0,14,8.433051
25.0,25,8.433051
18.0,18,8.433051
8.0,8,8.433051
16.0,16,8.433051
23.0,23,8.441046
15.0,15,8.441046
32.0,32,8.441046
12.0,12,8.441046
13.0,13,8.441046
17.0,17,8.449047
22.0,22,8.449047
30.0,30,8.457045
22.0,22,8.457045
18.0,18,8.457045
13.0,13,8.457045
43.0,43,8.457045
14.0,14,8.46505
46.0,46,8.46505
31.0,31,8.46505
26.0,26,8.46505
12.0,12,8.46505
12.0,12,8.46505
22.0,22,8.473046
27.0,27,8.473046
24.0,24,8.473046
17.0,17,8.473046
17.0,17,8.473046
16.0,16,8.473046
20.0,20,8.482112
13.0,13,8.482112
29.0,29,8.482112
15.0,15,8.482112
85.0,85,8.489124
18.0,18,8.489124
12.0,12,8.489124
11.0,11,8.489124
18.0,18,8.489124
22.0,22,8.489124
13.0,13,8.489124
30.0,30,8.49714
24.0,24,8.49714
